name,price,categories
"0-100",0,area
"101-150",0,area
"151-200",0,area
"201-250",20,area
"251-300",20,area
"301-350",20,area
"351-400",20,area
"401-450",20,area
"451-500",20,area
"501-550",20,area
"551-600",20,area
"601-650",20,area
"651-700",20,area
"701-750",20,area
"751-800",20,area
"801-850",20,area
"851-900",20,area
"901-950",20,area
"951-1000",20,area
"1001-1050",20,area
