name,price,categories
"Limpiar horno",12,"servicios-extra"
"Limpiar nevera",17,"servicios-extra"
"Limpiar gavetas",17,"servicios-extra"
"Aspirar sofas",17,"servicios-extra"
"Doblar y guardar ropa",22,"servicios-extra"
